Store_ID,subprovince,Title,URL,Competitor
82014,HCM,Dominos - NGUYEN SON,"https://www.google.com/maps/place/Domino's+Pizza/@10.7836673,106.620863,17z/data=!4m18!1m9!3m8!1s0x31752d0eceb3fc71:0x147539d6ebe8a434!2sDomino's+Pizza!8m2!3d10.783662!4d106.6234379!9m1!1b1!16s%2Fg%2F11fny_rnfb!3m7!1s0x31752d0eceb3fc71:0x147539d6ebe8a434!8m2!3d10.783662!4d106.6234379!9m1!1b1!16s%2Fg%2F11fny_rnfb?entry=ttu&hl=vi",Domino
81984,HCM,Dominos - NGUYEN TRI PHUONG,"https://www.google.com/maps/place/Domino's+Pizza+Nguy%E1%BB%85n+Tri+Ph%C6%B0%C6%A1ng/@10.7616975,106.665622,17z/data=!4m8!3m7!1s0x31752ee444e238f3:0xf6d107c2f69b0b2d!8m2!3d10.7616922!4d106.6681969!9m1!1b1!16s%2Fg%2F1tg32p_g?entry=ttu&hl=vi",Domino
82007,HCM,Dominos - LIEN TINH 5,"https://www.google.com/maps/place/Domino's+Pizza+Li%C3%AAn+T%E1%BB%89nh+5/@10.7359853,106.6533441,17z/data=!4m8!3m7!1s0x31752f9f57763dbd:0x85802c43f979e396!8m2!3d10.73598!4d106.655919!9m1!1b1!16s%2Fg%2F11ftmh_kgm?entry=ttu&hl=vi",Domino
82010,HCM,Dominos - LE VAN QUOI,"https://www.google.com/maps/place/Domino's+Pizza+L%C3%AA+V%C4%83n+Qu%E1%BB%9Bi/@10.7765277,106.6038067,17z/data=!4m8!3m7!1s0x31752c6b11b94df5:0xed29fa82287deaa6!8m2!3d10.7765224!4d106.6063816!9m1!1b1!16s%2Fg%2F11fznmk2gp?entry=ttu&hl=vi",Domino
82000,HCM,Dominos - NGUYEN ANH THU,"https://www.google.com/maps/place/Domino's+Pizza+Nguy%E1%BB%85n+%E1%BA%A2nh+Th%E1%BB%A7/@10.8656763,106.6114549,17z/data=!4m8!3m7!1s0x31752a11268d08cb:0x163330c116c003f8!8m2!3d10.865671!4d106.6140298!9m1!1b1!16s%2Fg%2F11clybynlg?entry=ttu&hl=vi",Domino
82006,HCM,Dominos - NGUYEN DUY TRINH,"https://www.google.com/maps/place/Domino's+Pizza+Nguy%E1%BB%85n+Duy+Trinh/@10.7884298,106.7556253,17z/data=!4m8!3m7!1s0x31752677835acf91:0x8f620bb16ab0adda!8m2!3d10.7884245!4d106.7582002!9m1!1b1!16s%2Fg%2F11c5bp6w5j?entry=ttu&hl=vi",Domino
82011,HCM,Dominos - LE THI HA,"https://www.google.com/maps/place/Domino's+Pizza+L%C3%AA+Th%E1%BB%8B+H%C3%A0/@10.886426,106.5958228,17z/data=!4m8!3m7!1s0x31752f822b61c8fd:0x3701443eedff1104!8m2!3d10.8864207!4d106.5983977!9m1!1b1!16s%2Fg%2F11jfs61xdh?entry=ttu&hl=vi",Domino
81980,HCM,Dominos - PHU MY HUNG,"https://www.google.com/maps/place/Domino's+Pizza/@10.7252447,106.7063343,17z/data=!4m8!3m7!1s0x31752f92e297036b:0x9b0314332d12a58a!8m2!3d10.7252394!4d106.7089092!9m1!1b1!16s%2Fg%2F1tj8_0kz?entry=ttu&hl=vi",Domino
81985,HCM,Dominos - KHANH HOI,"https://www.google.com/maps/place/Domino's+Pizza+Kh%C3%A1nh+H%E1%BB%99i/@10.7558906,106.6986368,17z/data=!4m8!3m7!1s0x31752f72a24132b3:0x1b88fa36ec833892!8m2!3d10.7558853!4d106.7012117!9m1!1b1!16s%2Fg%2F11b7svh1q8?entry=ttu&hl=vi",Domino
82012,HCM,Dominos - PHAN HUY ICH,"https://www.google.com/maps/place/Domino's+Pizza+%C4%90%C6%B0%E1%BB%9Dng+Phan+Huy+%C3%8Dch/@10.8237369,106.627237,17z/data=!4m8!3m7!1s0x3175296290c9df35:0xecab01a7e1511b5d!8m2!3d10.8237316!4d106.6298119!9m1!1b1!16s%2Fg%2F11j00spdx2?entry=ttu&hl=vi",Domino
